Categoria_Amazon;Categorias_ML_Correlacionadas;Fonte;ASIN;Nome;Preço;Nota;Avaliações;Categoria_Original
Automotivo;Acessórios para Veículos;Amazon;B094RFG1JH;vonixx Toalha de Microfibra para Secagem 50 x 90cm 350GSM 80% Poliéster 20% Poliamida;35,74;4,8;352.0;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B0F6ZG5BJJ;Protetor Solar Para-brisa, Quebra Sol Portátil, Proteção Térmica UV, Protetor Solar com Isolamento Térmico, Retrátil, Protetor Térmico Para Carro, Protetor Dobrável Preto para Carro;27,99;4;226.0;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07Y5LQGLC;vonixx CARNAUBA TOK FINAL 500ML;28,09;4,7;1.629;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07YDW6YXS;CAPACETE FECHADO PRO TORK SPORT MOTO 788 PRETO - BRANCO TAM. 56;158,1;4,5;7.898;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07Y5QM77S;"Bosch Jogo de Palhetas Dianteiras Aerofit AF178 para Limpadores de Para-brisa com Tratamento de Grafite, 20"" 500 mm e 20"" 500 mm, Par";48,56;4,6;2.302;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07CYRXDZR;CAPACETE FECHADO PRO TORK NEW LIBERTY 4 SOLID PRETO FOSCO TAM. 58;114,9;4,4;4.134;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B0FWCBD9M7;Kit 100 Presilhas e Grampos Universais para Parabarro, Parachoque e Forro de Porta – Fixação Automotiva Reforçada, Ideal para Acabamento Interno e Externo do Carro;20,03;4,3;24.0;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B0FWNKVTSN;Protetor Solar Para-brisa, Quebra Sol Portátil, Proteção Térmica UV, Protetor Solar com Isolamento Térmico, Retrátil, Protetor Térmico Para Carro, Protetor Dobrável Preto para Carro;39;4;42.0;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07VLT6HM2;Rodabrisa Gel Carro Novo;8,26;4,3;778.0;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B09SZKKHZ5;Termometro Industrial Culinaria a Laser Para Forno Freezer -50º A 380ºC Digital Sem Contato LCD Termômetro Infravermelho Pirômetro de Testador De Temperatura IR Industrial com Emissividade Ajustável;35,54;4,5;542.0;Automotivo
