Categoria_Amazon;Categorias_ML_Correlacionadas;Produto_Amazon;ASIN_Amazon;Status
Bebês;Bebês;Kit Sabonete em Barra Pom Pom Loção Hidratante com 5 unidades de 70g cada;B07Z55NZ7G;Agrupado por categoria
Bebês;Bebês;Johnson's Baby Sabonete Líquido Recém Nascido, 200ml;B07D2FKWBT;Agrupado por categoria
Bebês;Bebês;Mustela Gel Lavante Suave 750ml - Sabonete Líquido Corpo e Cabelo Infantil - 93% de Ingredientes de Origem Natural - Seguro Desde o Nascimento;B08MKNH3B4;Agrupado por categoria
Bebês;Bebês;Fralda Descartável Huggies Máxima Proteção Tamanho P 48 unidades – Nova fralda Supreme Care com absorção especial para cocô líquido e indicador de troca. (embalagem pode variar);B07FN7VP5Y;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Premium Care Pants Tamanho XG, Fácil de Vestir, 96 Unidades;B08K4JSQ2M;Agrupado por categoria
Bebês;Bebês;Bepantol Baby Leve 4 Pague 3 Kit 192 Lenços Umedecidos;B096KDKNNQ;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Pants Ajuste Total tamanho XXG, Fácil de Vestir, 78 Unidades;B0BM57KB66;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Premium Care Pants Tamanho XXG, Fácil de Vestir, 90 Unidades;B08K4L452V;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Premium Care Tamanho P 40 Unidades;B07GQ136TS;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Supersequinha Tamanho G 80 Unidades;B07X4GVF9H;Agrupado por categoria
Bebês;Bebês;Granado Refil Sabonete Líquido Bebê, Tradicional, 250ml;B07D2FXHM1;Agrupado por categoria
Bebês;Bebês;Lenços Umedecidos Pampers Cuidado de Bebê 192 Unidades;B0CGY62F23;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Splashers Para Nadar Baby Shark Tamanho XG 10 Unidades;B08HTGRMD3;Agrupado por categoria
Bebês;Bebês;Huggies Fralda Pants Premium Natural Care XG - 56 Fraldas;B0BKLNG66P;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;ELSÉVE Óleo Capilar L'Oréal Paris Elseve Óleo Extraordinário 100Ml - Leave In Anti Frizz Protetor Térmico Tratamento Reconstrutor Para Todos Os Tipos De Cabelo;B07H113TPQ;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;NIVEA Sabonete Líquido Óleo de Banho 200ml, Limpeza Corporal, Pele Macia, 55% Óleos Naturais, Sensação Hidratante;B00XDX9JJY;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Argan Óleo Reparador 50ml , Lola Cosmetics;B07SBXMSGB;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;NIVEA Sabonete em Barra Creme Care Promo 6 un. 90g - Limpa e deixa a pele macia mesmo após o banho, com glicerina, fragrância NIVEA Creme e o exclusivo ingrediente Eucerit;B08VGBZGWV;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;La Roche-Posay Cicaplast Baume B5+ Cuidado Multirreparador Calmante;B072MK7BN2;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Danos Vorazes Óleo Reparador 50ml , Lola Cosmetics;B09GHN14FP;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Protetor Solar Facial Principia FPS 60, 16,5% Mix de Filtros UV + 5% Niacinamida FPS 60 PS-01 com 40ml;B0CTR4FL63;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;CeraVe, Loção Hidratante Corporal, com textura Fluida e Ácido Hialurônico;B07RK4HST7;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Morte Súbita Máscara Super Hidratante 450g , Lola Cosmetics;B074LTNQBP;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;PAYOT Sabonete Liquido Detox, Vitamina C, 220 Ml;B08CNBSPBD;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Risqué Esmalte Cremoso Doce Orgulho 8 Ml;B017AQGCSU;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Hada Labo® Gokujyun Oil Cleasing - Óleo de limpeza facial demaquilante com Ácido Hialurônico 200ml;B07ZD6R4QK;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Danos Vorazes Máscara de Tratamento 450g , Lola Cosmetics;B09XFLHJ1S;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Cenoura e Bronze Kit Protetor Solar Corpo FPS 30 200ml + Facial FPS 30 50g, Cor: Branco;B0B9CFNLKJ;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Dove Sérum Hidratante Corporal Niacinamida + Uniformizador 380ml;B0D8RHX3C6;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Garnier, Gel Creme Hidratante Facial Antimanchas Toque Seco, com Vitamina C, Niacinamida e Ácido Hialurônico, Controla a Oleosidade e Uniformiza a Pele, 85g;B0DP82WCWS;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Rexona Clinical Antitranspirante Creme Classic 58G;B0CCN8PB7H;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Neutrogena Sun Fresh Protetor Solar Facial Derm Care, Pele Oleosa, Sem Cor, FPS 70, 40g;B08NVMP2YZ;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Protetor solar em bastão com cor FPS 95#20;B09MW8LJWY;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;NIVEA Loção Deo-Hidratante Milk 400ml, Hidratação Profunda 72h, Hialurônico Puro, Corporal, Pele Seca e Extrasseca;B079VQTK2M;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Danos Vorazes Leave-in 200ml , Lola Cosmetics;B08PPKQTFB;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Bepantol Derma Rosa Mosqueta, 20g, Hidratante Uniformizante;B0DPB55MCY;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;PRINCIPIA, Gel de Limpeza Facial 2% Ácido Salicílico + 5% Glicerina GL-01 com 350g;B0B6LZ36XV;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;NIVEA Hidratante Labial Amora Shine 4,8g, Hidratação Intensa 24h, Cor Suave, Brilho Delicado, Cuidado Diário, Manteiga de Karité;B07LFLRQXP;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;L'Oréal Paris Elseve Liso dos Sonhos, Sérum Leave-in com Tecnologia Ativada por Calor para Efeito Liso por 1 Semana, Antifrizz, Protetor Térmico e Barreira Contra Umidade, 100ml;B0DV1JZFXS;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Océane Esponja De Maquiagem Verde Flat Blend Verde;B0D2YF6GNZ;Agrupado por categoria
Beleza;Beleza e Cuidado Pessoal;Lola Cosmetics Rapunzel Growth Tônico Capilar Transparente Sin Perfume 250ml;B074LVMLNG;Agrupado por categoria
